ClipName,MarkerTime,ClipStart,ClipEnd,Duration
SAVE_001,1.100,0.000,16.100,16.100
SAVE_002,27.236,0.000,42.236,42.236
SAVE_003,37.123,7.123,52.123,45.000
SAVE_004,97.453,67.453,112.453,45.000
SAVE_005,107.210,77.210,122.210,45.000
SAVE_006,178.380,148.380,193.380,45.000
SAVE_007,247.495,217.495,262.495,45.000
SAVE_008,967.478,937.478,982.478,45.000
SAVE_009,3287.458,3257.458,3302.458,45.000
SAVE_010,3298.349,3268.349,3313.349,45.000
SAVE_011,3338.274,3308.274,3353.274,45.000
SAVE_012,3437.329,3407.329,3452.329,45.000
SAVE_013,3538.127,3508.127,3553.127,45.000
SAVE_014,3547.340,3517.340,3562.340,45.000
SAVE_015,3588.338,3558.338,3603.338,45.000
SAVE_016,4048.119,4018.119,4063.119,45.000
